Account Name,VPC Name,Cloud Provider,Region Name,Availability Zone,Region CIDR,VPC CIDR,AZ CIDR,Subnet CIDR,Subnet Role,Usable IPs
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1a,10.100.40.0/21,10.100.0.0/16,10.100.40.0/24,10.100.40.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1a,10.100.40.0/21,10.100.0.0/16,10.100.40.0/24,10.100.40.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1a,10.100.40.0/21,10.100.0.0/16,10.100.40.0/24,10.100.40.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1a,10.100.40.0/21,10.100.0.0/16,10.100.40.0/24,10.100.40.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1b,10.100.40.0/21,10.100.0.0/16,10.100.41.0/24,10.100.41.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1b,10.100.40.0/21,10.100.0.0/16,10.100.41.0/24,10.100.41.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1b,10.100.40.0/21,10.100.0.0/16,10.100.41.0/24,10.100.41.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1b,10.100.40.0/21,10.100.0.0/16,10.100.41.0/24,10.100.41.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1c,10.100.40.0/21,10.100.0.0/16,10.100.42.0/24,10.100.42.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1c,10.100.40.0/21,10.100.0.0/16,10.100.42.0/24,10.100.42.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1c,10.100.40.0/21,10.100.0.0/16,10.100.42.0/24,10.100.42.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,sa-east-1,sa-east-1c,10.100.40.0/21,10.100.0.0/16,10.100.42.0/24,10.100.42.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1a,10.100.48.0/21,10.100.0.0/16,10.100.48.0/24,10.100.48.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1a,10.100.48.0/21,10.100.0.0/16,10.100.48.0/24,10.100.48.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1a,10.100.48.0/21,10.100.0.0/16,10.100.48.0/24,10.100.48.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1a,10.100.48.0/21,10.100.0.0/16,10.100.48.0/24,10.100.48.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1b,10.100.48.0/21,10.100.0.0/16,10.100.49.0/24,10.100.49.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1b,10.100.48.0/21,10.100.0.0/16,10.100.49.0/24,10.100.49.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1b,10.100.48.0/21,10.100.0.0/16,10.100.49.0/24,10.100.49.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1b,10.100.48.0/21,10.100.0.0/16,10.100.49.0/24,10.100.49.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1c,10.100.48.0/21,10.100.0.0/16,10.100.50.0/24,10.100.50.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1c,10.100.48.0/21,10.100.0.0/16,10.100.50.0/24,10.100.50.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1c,10.100.48.0/21,10.100.0.0/16,10.100.50.0/24,10.100.50.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-1,eu-west-1c,10.100.48.0/21,10.100.0.0/16,10.100.50.0/24,10.100.50.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2a,10.100.56.0/21,10.100.0.0/16,10.100.56.0/24,10.100.56.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2a,10.100.56.0/21,10.100.0.0/16,10.100.56.0/24,10.100.56.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2a,10.100.56.0/21,10.100.0.0/16,10.100.56.0/24,10.100.56.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2a,10.100.56.0/21,10.100.0.0/16,10.100.56.0/24,10.100.56.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2b,10.100.56.0/21,10.100.0.0/16,10.100.57.0/24,10.100.57.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2b,10.100.56.0/21,10.100.0.0/16,10.100.57.0/24,10.100.57.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2b,10.100.56.0/21,10.100.0.0/16,10.100.57.0/24,10.100.57.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2b,10.100.56.0/21,10.100.0.0/16,10.100.57.0/24,10.100.57.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2c,10.100.56.0/21,10.100.0.0/16,10.100.58.0/24,10.100.58.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2c,10.100.56.0/21,10.100.0.0/16,10.100.58.0/24,10.100.58.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2c,10.100.56.0/21,10.100.0.0/16,10.100.58.0/24,10.100.58.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-west-2,eu-west-2c,10.100.56.0/21,10.100.0.0/16,10.100.58.0/24,10.100.58.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1a,10.100.64.0/21,10.100.0.0/16,10.100.64.0/24,10.100.64.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1a,10.100.64.0/21,10.100.0.0/16,10.100.64.0/24,10.100.64.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1a,10.100.64.0/21,10.100.0.0/16,10.100.64.0/24,10.100.64.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1a,10.100.64.0/21,10.100.0.0/16,10.100.64.0/24,10.100.64.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1b,10.100.64.0/21,10.100.0.0/16,10.100.65.0/24,10.100.65.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1b,10.100.64.0/21,10.100.0.0/16,10.100.65.0/24,10.100.65.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1b,10.100.64.0/21,10.100.0.0/16,10.100.65.0/24,10.100.65.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1b,10.100.64.0/21,10.100.0.0/16,10.100.65.0/24,10.100.65.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1c,10.100.64.0/21,10.100.0.0/16,10.100.66.0/24,10.100.66.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1c,10.100.64.0/21,10.100.0.0/16,10.100.66.0/24,10.100.66.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1c,10.100.64.0/21,10.100.0.0/16,10.100.66.0/24,10.100.66.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,eu-central-1,eu-central-1c,10.100.64.0/21,10.100.0.0/16,10.100.66.0/24,10.100.66.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1a,10.100.72.0/21,10.100.0.0/16,10.100.72.0/24,10.100.72.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1a,10.100.72.0/21,10.100.0.0/16,10.100.72.0/24,10.100.72.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1a,10.100.72.0/21,10.100.0.0/16,10.100.72.0/24,10.100.72.96/28,Endpoints,14
